UNIMAR RIJEKA d.o.o.;95950787630;21.09.2020;9757-02-91
SVJETLO 11.133.00 navig . polikarbonat jarbolno 360 °;kom;;11.133.00;5;40;74.7;25
SVJETLO 11.133.01 navig . polikarbonat jarbolno 360 °;kom;;11.133.01;5;40;74.7;25
SVJETLO 11.133.13 navig . jarbolno 360 * crno;kom;;11.133.13;5;30;137.4;25
SVJETLO 11.133.14 navig . jarbolno 360 ° bijela plastika;kom;;11.133.14;5;30;137.4;25
SVJETLO 11.134.02 navig . jarbolno 360 ° 90mm bijelo / bijela plastika;kom;;11.134.02;2;40;95.7;25
SVJETLO 11.138.03 navig . LED sa stegom na 3xAAA baterije;kom;;11.138.03;10;30;167.4;25
SVJETLO 11.415.01 navig . crveno lijevo 112,5 °;kom;;11.415.01;5;40;68.7;25
SVJETLO 11.415.02 navig . zeleno desno 112,5 °;kom;;11.415.02;5;40;68.7;25
PODVODNA 12.170.04 baterijska lampa LED Sub - Extreme Compact;kom;;12.170.04;1;30;167.4;25
LAMPA 12.170.10 LED vodonepropusna Exstreme;kom;;12.170.10;2;30;251.4;25
TERMINAL 14.035.06kom od bakra za kabel 6mm;kom;;14.035.06kom;100;40;2.85;25
TERMINAL 14.035.25kom od bakra za kabel 25mm;kom;;14.035.25kom;100;39.96;5.03;25
TERMINAL 14.035.26kom od bakra za kabel 25mm;kom;;14.035.26kom;100;40;5.25;25
TERMINAL 14.035.51kom od bakra za kabel 50mm;kom;;14.035.51kom;50;40;10.8;25
SPOJ 14.036.16 glava - glava;kom;;14.036.16;41;39.96;4.73;25
SABIRNICA 14.207.10 150Amp;kom;;14.207.10;7;40;101.7;25
UTIKAČ 14.517.02 sa osiguračem i LED indikatorom;kom;;14.517.02;15;40;29.85;25
AUTOMATSKI 14.733.10 osigurač 12V 10A;kom;;14.733.10;1;39.99;21.53;25
PREKIDAČ 14.910.00RO crveni;kom;;14.910.00RO;3;40;65.7;25
POKAZIVAČ 27.160.00 nivoa goriva;kom;;27.160.00;6;40;239.4;25
ANTENA 29.128.10 glom AM / FM 30cm;kom;;29.128.10;1;30;269.4;25
ZJEVAČA 40.202.20 ravna inox 203mm;kom;;40.202.20;3;40;197.4;25
ZAŠTITA 46.537.01 za glavu vanbrdoskog motora 2 / 4KS;kom;;46.537.01;1;30;98.7;25
ZAŠTITA 46.537.02 za glavu vanbrodskog motora 5 / 15KS;kom;;46.537.02;2;30;98.7;25
